,term1,term2,sentence,is_cause,is_treat
2550,TIOL MALARIA PROGRAM,CHLOROQUINE,"Children with symptomatic malaria in Bissau, Guinea Bissau were randomly assigned to treatment with a 25 mg/kg total dose of CHLOROQUINE as recommended by the TIOL MALARIA PROGRAM or with a higher total dose of 50 mg/kg.",1,0
2551,MULTIDRUG RESISTANT TUBERCULOSIS,ISONIAZID,"We compared all patients in England and Wales with ISONIAZID  and MULTIDRUG RESISTANT TUBERCULOSIS in two time periods (1993 1994 and 1998 2000) with patients with fully sensitive tuberculosis, examining separately patients without and with previous tuberculosis (a proxy for primary and secondary drug resistant tuberculosis.",1,0
2552,MEASLES,MEASLES VIRUS,"The occurrence of antibodies to the nucleoprotein and matrix (M) antigens of MEASLES VIRUS was determined in early and late measles convalescent sera and in sera from patients with multiple sclerosis, subacute sclerosing panencephalitis, chronic active hepatitis, and atypical MEASLES.",1,0
2553,GVHD,CYCLOSPORINE AND PREDNISONE,Its development may be associated with a high prevalence of biliary sludge and prolonged treatment of GVHD with CYCLOSPORINE AND PREDNISONE.,1,0
2554,MALARIA,CHLOROQUINE PHOSPHATE,All persons with MALARIA receive 600 mg CHLOROQUINE PHOSPHATE at the clinic (day 0) and a prescription for another 600 mg for day 1 and 300 mg on day 2.,1,0
2555,COBALAMIN DEFICIENCY,LOW COBALAMIN CONCENTRATIONS,LOW COBALAMIN CONCENTRATIONS do not indicate that the patient in question has COBALAMIN DEFICIENCY and values in the lower half of the reference interval do not exclude cobalamin deficiency.,1,0
2556,POSTMENOPAUSAL OSTEOPOROSIS,RECEPTOR MODULATOR (SERM RALOXIFENE,Various bisphosphotes and the selective estrogen RECEPTOR MODULATOR (SERM RALOXIFENE are approved treatments of POSTMENOPAUSAL OSTEOPOROSIS,1,0
2557,HYPOTHYROIDISM,LEVOTHYROXINE,"In a prospective, controlled study of 60 patients with type II amiodarone induced thyrotoxicosis treated with glucocorticoids compared with 60 patients with subacute thyroiditis similarly treated with glucocorticoids, permanent HYPOTHYROIDISM requiring LEVOTHYROXINE replacement occurred in 17% of patients with type II amiodarone induced thyrotoxicosis compared with 5% of patients with subacute thyroiditis ( 111.",1,0
2558,FOR TREATMENT OF VARICELLA AND HERPES ZOSTER,ACYCLOVIR,"Acyclovir is licensed FOR TREATMENT OF VARICELLA AND HERPES ZOSTER and acyclovir, valACYCLOVIR and famciclovir are approved for herpes zoster.",1,0
2559,PNEUMOCYSTIS CARINII PNEUMONIA,PENTAMIDINE AEROSOL,"From the pharmacological point of view, these studies prove the advantages of PENTAMIDINE AEROSOL in the treatment of PNEUMOCYSTIS CARINII PNEUMONIA (PCP) and provide information on extrarel excretion mechanisms and deep compartments.",1,0
2560,ABORTIVE VARICELLA EXANTHEMA,ACYCLOVIR,The newborns treated with varicella hyperimmunoglobulin and ACYCLOVIR developed ABORTIVE VARICELLA EXANTHEMA without further complications.,1,0
2561,MYOCARDIAL INFARCTION,ASPIRIN,Warfarin alone or with aspirin was superior to aspirin alone after acute myocardial infarction but increased bleeding  Keywords: Anticoagulants ASPIRIN Warfarin MYOCARDIAL INFARCTION  ACP Jourl Club.,1,0
2562,ARRHYTHMIAS,ANTIARRHYTHMIC TREATMENT,Sexual dimorphisms of atherosclerosis and the susceptibility to ARRHYTHMIAS and ANTIARRHYTHMIC TREATMENT have been reported.,1,0
2563,CLASS V CAVITIES,FLUORIDE CONTAINING AMALGAM,"CLASS V CAVITIES were prepared in 90 extracted premolars, a FLUORIDE CONTAINING AMALGAM was inserted in 45 cavities (experimental group) and a conventiol amalgam in 45 cavities (control group.",1,0
2564,ASTHMA,BECLOMETHASONE DIPROPIOTE,Long term animal studies of beclomethasone dipropiote and of budesonide and a few long term studies of BECLOMETHASONE DIPROPIOTE in the treatment of rhinitis and ASTHMA are available for the assessment of the possible risk of side effects.,1,0
2565,PAIN,ASPIRIN,"Rubin P, Yee JP, Ruoff G. Comparison of long term safety of ketorolac tromethamine and ASPIRIN in the treatment of chronic PAIN",1,0
2566,SEIZURES,MAGNESIUM SULFATE,Some SEIZURES occurred in patients in whom MAGNESIUM SULFATE levels were in the therapeutic range.,1,0
2567,HERPES ZOSTER,FAMCICLOVIR,In HERPES ZOSTER valacyclovir is as effective as FAMCICLOVIR and more effective than either placebo or acyclovir at facilitating cutaneous healing and healing of zoster associated pain and post herpetic neuralgia.,1,0
2568,CHRONIC HEPATITIS C,HEPATITIS A,"Infectious Diseases  Preventing hepatitis A and hepatitis B virus infections among men who have sex with men  Hepatology  The cost effectiveness of hepatitis A vaccition in patients with CHRONIC HEPATITIS C  Jourl of the American Medical Association  Incidence of hepatitis A in Israel following universal immunization of toddlers  New England Jourl of Medicine  An outbreak of HEPATITIS A associated with green onions  Vaccine  A prospective, randomized, comparative US trial of a combition hepatitis A and B vaccine (Twinrix) with corresponding monovalent vaccines (Havrix and Engerix B) in adults  Review  Clinical Microbiology Reviews  Hepatitis A:.",1,0
2569,PLAQUE,NON FLUORIDE AGENTS,"In the future, NON FLUORIDE AGENTS which modify the production of acid in PLAQUE  either antimicrobially, biochemically, or directly  appear to have the most promise for use in topical products and may prove to be effective anticaries systems.",1,0
2570,DRUG RESISTANT PULMORY TUBERCULOSIS,RIFAMPIN,"DRUG RESISTANT PULMORY TUBERCULOSIS  Archives of Interl Medicine  Improved adherence and less toxicity with RIFAMPIN vs isoniazid for treatment of latent tuberculosis: a retrospective study  Transmission of Mycobacterium tuberculosis through casual contact with an infectious case  Prospective validation of a prediction model for isolating inpatients with suspected pulmory tuberculosis  Lower risk of tuberculosis in obesity  Tuberculosis in South Asians living in the United States, 1993 2004  Isoniazid monoresistant tuberculosis in the United States, 1993 to 2003  Cost effectiveness of interferon gamma release assays vs tuberculin skin tests in health care workers  Tuberculosis and substance abuse in the.",1,0
2571,MALARIA,CHLOROQUINE,Rheumatoid arthritis and MALARIA have been treated with CHLOROQUINE for decades.,1,0
2572,MILD TO MODERATE ASTHMA,FLUTICASONE PROPIOTE,"A multicenter, double blind, parallel group study was conducted to evaluate the clinical efficacy and safety of low doses of inhaled FLUTICASONE PROPIOTE (FP) in patients with MILD TO MODERATE ASTHMA",1,0
2573,TDP VENTRICULAR TACHYCARDIA,DISOPYRAMIDE,We report a 76 year old woman who developed TDP VENTRICULAR TACHYCARDIA induced by combined use of clarithromycin and DISOPYRAMIDE,1,0
2574,WORM,ANTHELMINTIC,A strain of Haemonchus contortus (CAVR) isolated in Australia was found to be resistant to ivermectin (IVM) with 0.4 mg kg 1 of the ANTHELMINTIC failing to significantly reduce WORM burdens.,1,0
2575,PAIN VISUAL ALOG SCALE,LIDOCAINE,The aim was to compare the efficacy of transcutaneous electrical nerve stimulation (TENS) and local infiltration of 2% LIDOCAINE in the relief of episiotomy pain measured using a PAIN VISUAL ALOG SCALE (VAS.,1,0
2576,THROMBOEMBOLISM,HEPARIN,Subcutaneous calcium heparin can substitute the intravenous form of HEPARIN (either bolus or continuous) in the treatment of THROMBOEMBOLISM,1,0
2577,GASTRIC ULCER,MISOPROSTOL,"Five large controlled multicenter multicountry clinical trials have been conducted with misoprostol, including double blind placebo controlled comparisons of misoprostol in two duodel ulcer studies and one gastric ulcer study, and double blind comparisons of two doses of MISOPROSTOL and cimetidine in duodel ulcer and GASTRIC ULCER studies.",1,0
2578,ALCOHOLISM,DISULFIRAM,This article outlines a review of the literature about the use of DISULFIRAM and ltrexone for ALCOHOLISM and in patients with comorbid mental illness.,1,0
2579,SEVERE SYSTEMIC MYCOSES,AMPHOTERICIN B,"Two distinct eras of rapid progress in antifungal therapy followed: first, in the 1950's came the introduction of the polyenes, nystatin and pimaricin for cutaneous, vagil and intestil candidiasis, and AMPHOTERICIN B for the treatment of SEVERE SYSTEMIC MYCOSES",1,0
2580,CHF,DIGOXIN,a    Captopril Serum digoxin concentrations may increase by about 15 30% when captopril and DIGOXIN are used concomitantly for CHF,1,0
2581,MYOCARDIAL INFARCTION,CLOPIDOGREL,Recently the anti platelet drug CLOPIDOGREL has been publicized in the press as a breakthrough in the treatment of MYOCARDIAL INFARCTION,1,0
2582,HYPOPITUITARY HYPOTHYROIDISM,PRIMARY THYROXINE (T4) SUPPLEMENTAL THYROID,"We examined the results of the Northwest Regiol Screening Program (NWRSP) over its first 10 years to determine whether the detection of HYPOPITUITARY HYPOTHYROIDISM is a justified advantage of the PRIMARY THYROXINE (T4) SUPPLEMENTAL THYROID stimulating hormone (TSH) screening strategy, and to determine whether all such infants will be detected by this screening approach.",1,0
2583,VENOUS THROMBOSIS,HEPARIN,"However, once VENOUS THROMBOSIS has already occurred, it is necessary to use full dose HEPARIN preferably by the continuous intravenous route, with maintence of the partial thromboplastin time (PTT) at 1 1/2 times the control at all times.",1,0
2584,PAIN,LIGNOCAINE,"When the contrast medium was injected, first without and then with lignocaine, the PAIN was markedly reduced by LIGNOCAINE",1,0
2585,VARICELLA ZOSTER VIRUS,ACYCLOVIR,"Susceptibilities to brovavir 1 beta D arabinofuranosyl E 5 (2 bromovinyl) uracil and ACYCLOVIR of clinical isolates of VARICELLA ZOSTER VIRUS obtained from 58 patients with herpes zoster, included in a clinical trial of oral brovavir, were tested by a plaque reduction method.",1,0
2586,PULMORY EMBOLISM,HEPARIN,One patient had been treated by HEPARIN 1 month before for PULMORY EMBOLISM and the other had had a corory angiography and bypass graft surgery 5 months before for silent myocardial infarction.,1,0
2587,ACUTE RHEUMATIC FEVER,RHEUMATIC FEVER,This case provides further evidence of a genetic predisposition to RHEUMATIC FEVER and demonstrates the continued value of penicillin in the prophylaxis of ACUTE RHEUMATIC FEVER,1,0
2588,DIABETIC KETOACIDOSIS,TYPE 1 DIABETES MELLITUS,Not  effective as sole therapy for TYPE 1 DIABETES MELLITUS or DIABETIC KETOACIDOSIS; insulin is necessary.,1,0
2589,SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,SEPSIS,SEPSIS and the SYSTEMIC INFLAMMATORY RESPONSE SYNDROME are common and represent a major factor in morbidity and mortality in intensive care units and the critically ill,1,0
2590,SUBACUTE CUTANEOUS LUPUS ERYTHEMATOSUS,LUPUS ERYTHEMATOSUS,SUBACUTE CUTANEOUS LUPUS ERYTHEMATOSUS (SCLE) is a subset of LUPUS ERYTHEMATOSUS which is characterized by unique cutaneous manifestations and immunological abnormalities.,1,0
2591,ALLERGIC RHINITIS,ATOPIC HISTORY,"About one third of patients have a history of asthma, and up to one half have some ATOPIC HISTORY including ALLERGIC RHINITIS and sal polyps.",1,0
2592,ATOPIC DERMATITIS,ATOPY,"Besides, an immunopathologic role for Candida has been suggested for ATOPIC DERMATITIS, ATOPY, and other conditions, overtly associated or not with Candida",1,0
2593,STRABISMIC AMBLYOPIA,STRABISMUS,"Visual evoked potentials (VEPs) produced by pattern reversal were compared with those elicited by onset of motion in 37 amblyopic children (20 with anisometropic amblyopia, seven with STRABISMIC AMBLYOPIA and 10 with both anisometropia and STRABISMUS",1,0
2594,GYRATE ATROPHY,HYPERORNITHINEMIA,The diagnosis of GYRATE ATROPHY was confirmed biochemically and clinically; HYPERORNITHINEMIA and a deficiency of ornithine ketoacid transamise were confirmed biochemically.,1,0
2595,GRAVES' DISEASE,THYROTOXICOSIS,"One was clinically euthyroid, whereas the other two were more unusual in that one had coincident GRAVES' DISEASE with THYROTOXICOSIS and one had primary myxodema.",1,0
2596,RESPIRATORY ALKALOSIS,HYPERVENTILATION,"They include increased oxygen consumption, HYPERVENTILATION and RESPIRATORY ALKALOSIS; increased cardiac output, systemic peripheral resistance and blood pressure; delayed gastric emptying; impaired uterine contractility and diminished uterine perfusion; and metabolic acidaemia",1,0
2597,HYPERSENSITIVITY TO ENVIRONMENTAL ALLERGENS,ALLERGY,It is accepted that ALLERGY is not the sole cause of asthma but nonetheless HYPERSENSITIVITY TO ENVIRONMENTAL ALLERGENS is a significant triggering factor in most countries of the world.,1,0
2598,HEMORRHAGIC SHOCK,HYPOVOLEMIA,Lactated Ringer's solution has been used for decades in the resuscitation of HYPOVOLEMIA and HEMORRHAGIC SHOCK,1,0
2599,DISCOID LUPUS,MALAR LUPUS RASHES,Direct immunofluorescence of the affected skin provided supportive evidence of cutaneous lupus in 60% of MALAR LUPUS RASHES and approximately 50% of subacute cutaneous and DISCOID LUPUS rashes.,1,0
2600,HYPERSENSITIVITY,ALLERGIC REACTIONS,A combition of various kinds of ALLERGIC REACTIONS of both the specific immediate type and of the local reaction of HYPERSENSITIVITY of the slow type plays its role in the development of acute appendicitis.,1,0
2601,ALLERGIC RHINITIS,ATOPIC RESPIRATORY DISEASES,"ATOPIC RESPIRATORY DISEASES such as ALLERGIC RHINITIS and asthma represent the effects of an immunological response to allergens, mediated through immunoglobulins E. Development of a clinically significant atopic reaction depends on environmental exposure.",1,0
2602,DIABETIC NEUROPATHY,DIABETES MELLITUS,"Diabetic neuropathy is common in patients with DIABETES MELLITUS, and 7.5% of diabetics experience pain from DIABETIC NEUROPATHY",1,0
2603,ALLERGIC RHINITIS,FAMILY ATOPY,"The prevalences of current asthma, cumulative asthma and asthma like symptoms were found in 1.2, 1.0 and 25.0%, respectively, of the 20 44 years age group and the prevalences of ALLERGIC RHINITIS allergic dermatitis and FAMILY ATOPY were found in 14.5, 10.9, and 15.2%, respectively, in all age group.",1,0
2604,SPONTANEOUS ISCHEMIC COLITIS,COLONIC ISCHEMIA,"Evidence: ? A retrospective study showed that the ture of the COLONIC ISCHEMIA (i.e., SPONTANEOUS ISCHEMIC COLITIS versus ischemia related to shock from other disease) is predictive of mortality.",1,0
2605,SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,SEPSIS,"PCT and other calcitonin precursors in serum are present at less than 50 pg/ml in healthy individuals, but are highly elevated in serum where conditions leading to SYSTEMIC INFLAMMATORY RESPONSE SYNDROME or SEPSIS prevail",1,0
2606,ALLERGIES,HYPERSENSITIVITY,"Infectious causes of conjunctivitis should always be investigated, but ALLERGIES and HYPERSENSITIVITY also should be considered if the history is appropriate",1,0
2607,ALLERGIC VASCULITIS,CUTANEOUS ALLERGIC REACTIONS,"Hypersensitivity Reactions  Possible aphylactic or allergic reactions; CUTANEOUS ALLERGIC REACTIONS and serious ALLERGIC VASCULITIS often with purpura of extremities and extracutaneous involvement (e.g., rel.",1,0
2608,DIABETIC KETOACIDOSIS,INSULIN DEPENDENT DIABETES,Alysis of the mortality of children with INSULIN DEPENDENT DIABETES in Moscow in the eighties revealed a very high specific incidence of DIABETIC KETOACIDOSIS the principal cause of lethal outcomes occurring in the period of the disease manifestation in more than a half of the alyzed cases.,1,0
2609,DIABETES MELLITUS,DIABETIC KETOACIDOSIS,Ratiole: ? A significant number of new cases of DIABETES MELLITUS begin as DIABETIC KETOACIDOSIS,1,0
2610,DIABETIC NEUROPATHY,DIABETES,The prerequisite condition includes: (1) diagnosed as DIABETES and (2) other neuropathies than DIABETIC NEUROPATHY can be excluded.,1,0
